Feature,Importance
Gestational_week,3.6172686
Weight_kg,1.4176023
Q10,0.31455913
Q5,0.2734308
Q31,0.26395047
Q20,0.22396788
Q30,0.20978759
Q29,0.19102825
Q26,0.18366681
Q24,0.17368777
Q8,0.17235738
Q1,0.17231192
Q12,0.17158315
Q13,0.16273811
Q6,0.16151221
Q18,0.15938678
Age,0.1575442
Q22,0.13825978
Q4,0.1372157
Q17,0.13408262
Q16,0.12553045
Height_ft,0.11841798
Q25,0.11370235
Q28,0.10452986
Q3,0.10072566
Q7,0.09663062
Q19,0.087184705
Q27,0.08444284
Q11,0.07814888
Q9,0.0687013
Q23,0.06836303
Q14,0.062071092
Q21,0.059319176
Q2,0.05311127
Q15,0.044814527
Anxiety_Level,0.0
District_Bhola,0.0
District_Bogura,0.0
District_Chandpur,0.0
District_Chattogram,0.0
District_Coxsbazar,0.0
District_Cumilla,0.0
District_Dhaka,0.0
District_Dinajpur,0.0
District_Faridpur,0.0
District_Gaibandha,0.0
District_Gazipur,0.0
District_Gopalganj,0.0
District_Habiganj,0.0
District_Jessore,0.0
District_Jhalokathi,0.0
District_Joypurhat,0.0
District_Khulna,0.0
District_Kishoreganj,0.0
District_Kurigram,0.0
District_Lalmonirhat,0.0
District_Madaripur,0.0
District_Manikganj,0.0
District_Moulvibazar,0.0
District_Munshiganj,0.0
District_Naogaon,0.0
District_Narayanganj,0.0
District_Narsingdi,0.0
District_Noakhali,0.0
District_Pabna,0.0
District_Panchagarh,0.0
District_Patuakhali,0.0
District_Pirojpur,0.0
District_Rajbari,0.0
District_Rangpur,0.0
District_Satkhira,0.0
District_Sirajganj,0.0
District_Sylhet,0.0
District_Tangail,0.0
Medical_condition_Diabetes,0.0
Medical_condition_GDM,0.0
Medical_condition_Hypertension,0.0
Medical_condition_Thyroid disorder,0.0
